ID,Sentence1,Sentence2,Class
3482,"In eye drops it paralyzes the pupils and extends the focusing muscles , which is useful in optical surgery .","In eye drops it dilates the pupils and paralyzes the focusing muscles , which is useful in optical surgery .",0
3483,The first main span was completed in 1857 and the positioned bridge was opened by Prince Albert on 2 May 1859 .,"The first main span was positioned in 1857 and the finished bridge was opened on May 2 , 1859 by Prince Albert .",0
3484,"In countries where civil service cartridges are banned for military ownership , the 7 × 64 Brennecke is a successful cartridge for hunting and marksmanship .","In countries where civil service cartridges for military property are banned , the Brennecke 7 × 64 is a successful cartridge for hunting and accuracy .",1
3485,The 1927 Colgate football team represented Colgate University at the College - Football - Season 1927 .,The 1927 Colgate University Football team represent Colgate in the College - Football - Season 1927 .,0
3486,It was chosen as the 19th best movie at the 7th Yokohama Film Festival .,It was elected at the 19th Yokohama Film Festival as the 7th best film .,0
3487,"Its status as a satellite town of the Klang Valley is connected to its location in the heart of Kuala Lumpur , Malaysia .",Its status as a satellite town of Kuala Lumpur is linked to its location in the heart of the Klang Valley in Malaysia .,0
3488,It can either be `` mortal '' or `` venial '' .,It can be either `` venial '' or `` mortal '',1
3489,The Nadeş River is a tributary of the River Ciortosu in Romania .,"The Ciortosu River is a tributary of the River Nadeş , Romania .",0
3490,The Valea Mică River is a tributary of the River Valea Arsurii in Romania .,The Valea Arsurii River is a tributary of the Valea Mică River in Romania .,0
3491,"Smith found the cigarette tax falls on the tobacco consumer, not the tribe, meaning the tribe is simply an agent for collecting a tax.","Smith ruled that the state's tax falls on the tobacco consumer, not the tribe, making the tribe simply an agent for collecting the tax.
",1
3492,"Between Robert De Niro and Al Pacino, who is more successful?","Who do you regard as the best actor, Robert De Niro or Al Pacino?",0
3493,"On 13 November 2016 , David Machado murdered Dennis Wallace in Fox Grove Park near the city of Hughson .","On 13 November 2016 , the Deputy David Machado was murdered in Fox Grove Park near the city of Hughson of Dennis Wallace .",0
3494,"She was born Doris Miles in Glastonbury , Connecticut , and married George J. Disney in 1936 . She died in Fredericksburg , Virginia .","She was born in 1936 in Glastonbury , Connecticut , and married George J. Disney , died in Fredericksburg , Virginia .",1
3495,The city of Santa Fe has designated the Oklahoma City station as a location for intermodal transit for the city and the conurbation area .,The city of Oklahoma City has designated Santa Fe railway station as the location for intermodal transit for the city and the greater area .,0
3496,The way ... is from the Great Lakes towards the head of the Mississippi and from there to the river called by the Indians Ouragon ...,"The rout is from the Mississippi towards the Head of the Great Lakes , and from thence to the River called by the Indians Ouragon .",0
3497,"In fact, 10 million shares of the sale went to an unidentified charitable trust - which promptly sold them.","Turner said he transferred 10 million additional shares to a charitable trust, which also liquidated them.
",1
3498,"An edited version of the song was published by Jerry Wexler in 1969 as a single on the Atlantic label , produced by Cher .","An edited version of the song was published in 1969 as a single at the Atlantic label by Cher , produced by Jerry Wexler .",0
3499,"Jenna Bartholemew ( born August 10 , 1988 ) is a South African Canadian cricketer .",Jenna Bartholemew ( born 10 August 1988 ) is a Canadian born South African woman cricketer .,0
3500,Joshua Gruss is the son of financier Martin D. Gruss and grandson of financier and philanthropist Joseph S. Gruss,Joshua Gruss is the son of financier Joseph S. Gruss and grandson of the financier and philanthropist Martin D. Gruss .,0
3501,"Massé was born in Holland , Michigan , grew up in Westchester County , New York , and lived during her youth in Europe .","Massé was born in Westchester County , New York , grew up in Holland , Michigan , and lived in Europe during her teens .",0
3502,"Many women complain that they become more forgetful around the time of menopause, and some doctors believe that hormonal changes are the reason.","Many women complain that they become more forgetful after menopause, and some doctors have come to believe the hormonal changes brought on by menopause are the reason.
",1
3503,"In the 2007 Hong Kong Chief Executive elections , Alan Leong successfully entered the race against the incumbent Donald Tsang from the Civic Party .","In the Hong Kong Chief Executive election , 2007 , Donald Tsang of the Civic Party successfully entered the race against the incumbent Alan Leong .",0
3504,"The Lost Boys is a 1978 docudrama mini-series produced by the BBC , written by Andrew Birkin , and directed by Rodney Bennett .","The Lost Boys is a docudrama miniseries produced by the BBC in 1978 , written by Rodney Bennett and directed by Andrew Birkin .",0
3505,"17.1 % were of German , 12.4 % Finnish , 10.5 % Norwegian , 9.4 % Italian , 6.4 % Swedish and 5.9 % Irish ancestry .","17.1 % were German , 12.4 % Finnish , 10.5 % Norwegian , 9.4 % Italian , 6.4 % Irish and 5.9 % of Swedish descent .",0
3506,Mobile phones with WVGA such display - resolution has become common This is a list of cellular phones that have native displays .,Mobile phones with WVGA such display resolution have become common . This is a list of phones that have native displays .,1
3507,"Warm packs are often prepared , the heat opens the pores of the skin and helps in the interaction of clay with the body .","Prepared packs are often warm , the heat opens the pores of the skin and supports the interaction of the clay with the body .",0
3508,Percy W. Adams married Gwendoline Wright .,Percy W. Adams married Gwendoline Wright .,1
3509,Marianne is found guilty of fire in the Hotel `` Ter Smissen '' and the dead Freddys .,Marianne is found guilty of the fire in hotel `` Ter Smissen '' and the dead of Freddy .,1
3510,What is the best smartphone within ₹10000?,What are the best smartphones?,0
3511,"Thus , the issuance of Dutch catechisms , such as the Dutch Catechism , was confirmed , although local views on particular theological issues remain controversial within the Church .","Thus , the publication of local catechisms , such as the Dutch catechism , was confirmed , although Dutch views on certain theological issues remain controversial within the Church .",0
3512,"Police investigating a fatal hit-and-run accident conducted a search Monday at the home of Bishop Thomas O'Brien, head of the Roman Catholic Diocese of Phoenix.","Police investigating a deadly hit-and-run accident went to the home of Phoenix's Roman Catholic bishop on Monday and found the windshield of his car caved in, authorities said.
",0
3513,"The company was formed from the merger between SP Telemedia , which was founded in 1986 by David and Vicky Teoh , and the Total Peripherals Group in the year 2008 .","The company was formed from the merger between Total Peripherals Group , which was established in 1986 by David and Vicky Teoh , and SP Telemedia in 2008 .",0
3514,"Tom Ortenberg , CEO of Open Road Films and former president of Lionsgate Films , was born and raised in Briarcliff Manor .","Born and raised in Briarcliff Manor , Tom Ortenberg was born , CEO of Lionsgate Films and former president of Open Road Films .",0
3515,"It lies approximately southeast of Tarnobrzeg , east of Grębów and north of the regional capital Rzeszów .","It lies approximately south-east of Grębów , east of Tarnobrzeg , and north of the regional capital Rzeszów .",0
3516,`` P. seippi '' should be located in pairs in a well planted terrarium .,`` P. seippi '' should be housed in pairs in a well planted terrarium .,1
3517,"Mount Fillmore is a mountain in the Plumas National Forest in Sierra County , California , northeast of La Porte and north of Downieville .","Mount Fillmore is a mountain in the Plumas National Forest in Sierra County , California . It is northeast of La Porte and north of Downieville .",1
3518,"In 2004 , SCA acquired International Paper 's Tissue and Hygiene products businesses from Carter Holt Harvey .","In 2004 , SCA acquired the International Paper Tissue and Hygiene Products division from Carter Holt Harvey .",0
